1719113605884_3,0.000,14.911,1719113605885,4,1
1719113605884_3,1.000,14.962,1719113605985,4,1
1719113605884_3,2.000,14.934,1719113606086,4,1
1719113605884_3,3.000,15.132,1719113606187,4,1
1719113605884_3,4.000,15.134,1719113606288,4,1
1719113605884_3,5.000,15.109,1719113606389,4,1
1719113605884_3,5.004,14.000,1719113606489,4,1
1719113605884_3,5.004,13.000,1719113606590,4,1
1719113605884_3,5.092,12.000,1719113606692,4,1
1719113605884_3,5.107,11.000,1719113607023,4,1
1719113605884_3,4.905,10.000,1719113607023,4,1
1719113605884_3,6.000,10.019,1719113607124,4,1
1719113605884_3,7.000,9.967,1719113607225,4,1
1719113605884_3,8.000,9.993,1719113607326,4,1
1719113605884_3,9.000,10.086,1719113607427,4,1
1719113605884_3,10.000,9.978,1719113607528,4,1
1719113605884_3,10.083,9.000,1719113607630,4,1
1719113605884_3,10.008,8.000,1719113607731,4,1
1719113605884_3,10.037,7.000,1719113607833,4,1
1719113605884_3,10.142,6.000,1719113607935,4,1
1719113605884_3,10.050,5.000,1719113608034,4,1
1719113605884_3,11.000,5.023,1719113608135,4,1
1719113605884_3,12.000,5.134,1719113608236,4,1
1719113605884_3,13.000,5.062,1719113608336,4,1
1719113605884_3,14.000,5.115,1719113608437,4,1
1719113605884_3,15.000,4.912,1719113608538,4,1
1719113605884_3,16.000,5.022,1719113608639,4,1
1719113605884_3,17.000,4.985,1719113608740,4,1
1719113605884_3,18.000,4.951,1719113608841,4,1
1719113605884_3,19.000,4.938,1719113608942,4,1
1719113605884_3,20.000,5.018,1719113609043,4,1
1719113605884_3,21.000,4.901,1719113609144,4,1
1719113605884_3,22.000,5.006,1719113609245,4,1
1719113605884_3,23.000,5.119,1719113609346,4,1
1719113605884_3,24.000,5.004,1719113609447,4,1
1719113605884_3,25.000,5.131,1719113609548,4,1
1719113605884_3,26.000,5.027,1719113609649,4,1
1719113605884_3,27.000,4.945,1719113609750,4,1
1719113605884_3,28.000,5.067,1719113609851,4,1
1719113605884_3,29.000,5.085,1719113609953,4,1
1719113605884_3,30.000,4.985,1719113610054,4,1
