1719179500798_4,0.000,10.057,1719179500798,5,2
1719179500798_4,2.000,10.129,1719179500899,5,2
1719179500798_4,4.000,10.125,1719179500999,5,2
1719179500798_4,4.958,9.000,1719179501101,5,2
1719179500798_4,4.944,7.000,1719179501202,5,2
1719179500798_4,4.916,5.000,1719179501303,5,2
1719179500798_4,7.000,4.980,1719179501404,5,2
1719179500798_4,9.000,4.932,1719179501504,5,2
1719179500798_4,10.135,4.000,1719179501606,5,2
1719179500798_4,10.114,2.000,1719179501928,5,2
1719179500798_4,9.932,0.000,1719179502030,5,2
1719179500798_4,12.000,0.005,1719179502130,5,2
1719179500798_4,14.000,0.013,1719179502232,5,2
1719179500798_4,16.000,0.130,1719179502332,5,2
1719179500798_4,18.000,0.073,1719179502434,5,2
1719179500798_4,20.000,0.066,1719179502536,5,2
1719179500798_4,22.000,0.039,1719179502637,5,2
1719179500798_4,24.000,0.148,1719179502738,5,2
1719179500798_4,26.000,0.003,1719179502839,5,2
1719179500798_4,28.000,0.113,1719179502939,5,2
1719179500798_4,30.000,0.112,1719179503041,5,2
