1719113489764_0,0.000,4.974,1719113489767,1,3
1719113489764_0,3.000,4.941,1719113489867,1,3
1719113489764_0,6.000,4.996,1719113489969,1,3
1719113489764_0,9.000,5.122,1719113490071,1,3
1719113489764_0,12.000,4.952,1719113490195,1,3
1719113489764_0,15.000,5.027,1719113490297,1,3
1719113489764_0,18.000,5.096,1719113490396,1,3
1719113489764_0,21.000,5.084,1719113490738,1,3
1719113489764_0,24.000,4.957,1719113490739,1,3
1719113489764_0,27.000,5.000,1719113491053,1,3
1719113489764_0,30.000,5.064,1719113491153,1,3
