1719113489766_4,0.000,24.914,1719113489767,5,3
1719113489766_4,3.000,25.097,1719113489867,5,3
1719113489766_4,6.000,25.124,1719113489969,5,3
1719113489766_4,9.000,24.958,1719113490071,5,3
1719113489766_4,12.000,24.920,1719113490195,5,3
1719113489766_4,15.000,25.143,1719113490296,5,3
1719113489766_4,18.000,24.969,1719113490396,5,3
1719113489766_4,21.000,25.068,1719113490738,5,3
1719113489766_4,24.000,25.017,1719113491052,5,3
1719113489766_4,27.000,25.046,1719113491153,5,3
1719113489766_4,30.000,25.141,1719113491476,5,3
